nama_kabupaten_kota,tahun,jumlah_kasus,persentase_sanitasi_layak,jumlah_puskesmas,kepadatan_penduduk,Cluster_ID,Kategori_Resiko
KABUPATEN CIANJUR,2021,3,92.89,47,653,0,Sangat Rendah
KABUPATEN BANDUNG,2021,12,90.3,62,2074,0,Sangat Rendah
KABUPATEN GARUT,2021,3,96.65,67,847,0,Sangat Rendah
KABUPATEN TASIKMALAYA,2021,15,79.26,40,738,0,Sangat Rendah
KABUPATEN CIAMIS,2021,2,85.51,37,875,0,Sangat Rendah
KABUPATEN KUNINGAN,2021,0,90.11,37,1063,0,Sangat Rendah
KABUPATEN CIREBON,2021,3,91.32,60,2327,0,Sangat Rendah
KABUPATEN MAJALENGKA,2021,0,88.84,32,1095,0,Sangat Rendah
KABUPATEN SUMEDANG,2021,0,95.84,35,764,0,Sangat Rendah
KABUPATEN INDRAMAYU,2021,19,82.06,49,907,0,Sangat Rendah
KABUPATEN SUBANG,2021,3,100.0,40,849,0,Sangat Rendah
KABUPATEN PURWAKARTA,2021,0,94.45,20,1225,0,Sangat Rendah
KABUPATEN KARAWANG,2021,0,43.9,50,1494,1,Rendah
KABUPATEN BEKASI,2021,0,91.33,44,2578,0,Sangat Rendah
KABUPATEN BANDUNG BARAT,2021,1,100.0,32,1389,0,Sangat Rendah
KABUPATEN PANGANDARAN,2021,4,88.34,15,423,0,Sangat Rendah
KOTA BOGOR,2021,18,76.33,25,8881,2,Sedang
KOTA SUKABUMI,2021,3,83.2,15,7271,2,Sedang
KOTA BANDUNG,2021,8,78.49,73,14630,2,Sedang
KOTA CIREBON,2021,0,97.49,22,9017,2,Sedang
KOTA BEKASI,2021,3,99.3,42,12414,2,Sedang
KOTA DEPOK,2021,19,90.29,38,10415,2,Sedang
KOTA CIMAHI,2021,43,80.91,13,14556,2,Sedang
KOTA TASIKMALAYA,2021,10,57.86,22,4218,1,Rendah
KOTA BANJAR,2021,0,97.97,10,1792,0,Sangat Rendah
KABUPATEN BOGOR,2022,11,68.6,101,1861,1,Rendah
KABUPATEN SUKABUMI,2022,28,100.0,58,674,0,Sangat Rendah
