Jumlah_Klaster_k,Silhouette_Score,Davies_Bouldin_Index
2,0.4061281266535096,1.2977617644010724
3,0.40438958677061293,0.9344853317370582
4,0.3622477741731783,0.9939343239886907
5,0.40082133214983456,0.8969190724410631
6,0.3508647600036109,0.8607446700523806
7,0.33018127912175743,0.8192132927882396
8,0.33661431111150003,0.8944445622930852
9,0.3472651634361415,0.895392892779236
10,0.36685443576552473,0.8547615757649272
